churn_event_id,account_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text
A-43a9e3,A-c37cab,2024-10-27,pricing,4.03,f,f,f,switched to competitor
A-ce550d,A-37f969,2024-06-25,support,96.45,t,f,f,
A-7dacce,A-b07346,2024-11-12,budget,0,f,f,f,missing features
A-10b8da,A-1e50e0,2023-11-01,budget,54.94,f,f,f,switched to competitor
A-592832,A-956988,2024-12-30,unknown,0,f,t,t,too expensive
A-c4ea60,A-b20d99,2024-03-04,features,0,f,f,f,missing features
A-4e44e8,A-526d93,2024-07-10,features,34.4,t,f,f,
A-30b4ca,A-751bd4,2024-09-22,budget,0,f,f,f,
A-32fb14,A-ccabf0,2024-10-31,features,0,f,f,f,too expensive
A-35083d,A-0a62f5,2024-10-10,features,0,f,f,f,switched to competitor
A-08e34e,A-3ce5b8,2024-09-18,features,261.49,f,f,f,too expensive
A-7f8241,A-3b5cd1,2024-08-30,unknown,77.87,f,f,f,missing features
A-b2225d,A-bcf664,2024-08-08,competitor,0,f,f,f,
A-32728c,A-b9f5b1,2023-07-21,features,0,f,f,f,switched to competitor
A-4c38bc,A-0dbdc6,2024-04-14,pricing,175.02,f,f,f,too expensive
A-9ee962,A-c9bb3e,2024-07-29,pricing,0,f,f,f,switched to competitor
A-84ebe4,A-96e141,2024-07-22,budget,43.53,f,f,f,too expensive
A-5b4ebb,A-e7a1e2,2024-09-08,support,0,t,f,f,missing features
A-9208f0,A-812c5b,2024-05-11,support,11.83,f,f,f,missing features
A-271f46,A-c70870,2024-12-13,competitor,0,f,f,f,switched to competitor
A-8b25f2,A-271f46,2024-08-09,features,0,f,f,t,missing features
A-503d5a,A-592832,2024-10-04,support,22.66,f,f,f,switched to competitor
A-69fad4,A-180abf,2023-12-04,support,0,f,f,f,
A-f19409,A-0a282f,2024-10-06,features,0,f,f,f,switched to competitor
A-425e76,A-e51ec7,2024-01-29,support,0,f,f,f,missing features
A-e83938,A-034368,2024-08-29,features,0,t,f,f,
A-e61e98,A-8bde0c,2024-11-28,features,0,f,f,f,missing features
A-95b24a,A-08e34e,2024-07-13,competitor,225.18,f,f,f,switched to competitor
A-42e5e1,A-44dc83,2024-11-29,unknown,98.48,f,t,f,missing features
A-180abf,A-78f02b,2024-12-02,unknown,0,f,f,f,missing features
A-f17767,A-fce879,2024-12-03,features,0,t,f,f,switched to competitor
A-5a184f,A-34ea2f,2024-10-05,unknown,0,t,f,f,
A-7df7a7,A-0baac2,2024-12-24,unknown,68.65,f,f,f,switched to competitor
A-1ac5e0,A-ac85cd,2024-10-20,features,83.94,f,f,f,
A-117171,A-439b2f,2024-11-18,features,0,f,f,f,switched to competitor
A-50f3f7,A-0f6450,2024-12-29,competitor,0,f,f,f,missing features
A-3932db,A-b78bf8,2024-12-06,unknown,0,f,f,f,
A-4c6f11,A-7df7a7,2024-07-10,budget,0,f,f,f,missing features
A-eafc6e,A-396e5f,2024-11-30,features,0,f,f,f,too expensive
A-439b2f,A-32fb14,2023-08-19,budget,0,f,f,f,switched to competitor
A-038089,A-4e0e85,2024-03-14,pricing,0,f,f,f,
A-d5a319,A-922109,2024-08-03,support,0,t,t,f,too expensive
A-ff79f2,A-794a0b,2024-09-09,budget,0,f,t,f,switched to competitor
A-9779ad,A-5a184f,2024-03-19,support,0,f,t,f,missing features
A-88c6ca,A-ccb686,2024-06-22,budget,0,t,f,f,
A-139c3b,A-029f69,2024-12-14,competitor,32.73,f,f,f,too expensive
A-7a0d69,A-9208f0,2023-11-18,features,0,f,f,f,switched to competitor
A-692f18,A-5a92e7,2024-11-11,budget,0,t,f,f,missing features
A-13466a,A-f45426,2024-11-13,pricing,0,f,f,f,switched to competitor
A-c608c8,A-2446e3,2024-07-29,unknown,47.06,f,f,f,
A-3be56b,A-d535f6,2024-11-26,features,0,f,f,f,switched to competitor
A-c222ab,A-6da850,2024-10-25,competitor,0,f,f,f,missing features
A-249769,A-249769,2024-12-16,budget,0,f,f,f,
A-eb2fdc,A-8e47ca,2024-06-01,competitor,0,f,f,f,missing features
A-d922bf,A-484819,2023-12-29,support,0,f,f,f,
A-8ed5dd,A-bbc346,2024-10-31,competitor,0,t,f,f,too expensive
A-4ae22a,A-eb1312,2024-09-28,unknown,0,f,f,f,switched to competitor
A-977ca0,A-bf7919,2024-12-06,support,0,f,f,f,
