account_id,account_name,industry,country,signup_date,refferal_source,plan_tier,seats,is_trial,churn_flag
A-2e4581,Company_0,EdTech,United States,2024-10-16,partner,Basic,9,f,f
A-43a9e3,Company_1,FinTech,India,2023-08-17,other,Basic,18,f,t
A-0a282f,Company_2,DevTools,United States,2024-08-27,organic,Basic,1,f,f
A-1f0ac7,Company_3,HealthTech,United Kingdom,2023-08-27,other,Basic,24,t,f
A-ce550d,Company_4,HealthTech,United States,2024-10-27,event,Enterprise,35,f,t
A-1b9609,Company_5,EdTech,India,2023-10-12,ads,Enterprise,4,f,f
A-a0ca4e,Company_6,Cybersecurity,United States,2024-03-08,ads,Pro,11,f,f
A-e5d6ab,Company_7,EdTech,United States,2023-04-15,partner,Pro,3,f,f
A-7dacce,Company_8,Cybersecurity,Canada,2024-09-10,event,Enterprise,12,f,t
A-10b8da,Company_9,DevTools,United States,2023-05-08,partner,Enterprise,14,f,t
A-592832,Company_10,Cybersecurity,United States,2024-09-25,organic,Basic,18,f,t
A-d40bf7,Company_11,FinTech,India,2024-11-08,organic,Basic,59,f,f
A-6c093d,Company_12,DevTools,United States,2023-04-14,partner,Basic,7,t,f
A-462d45,Company_13,Cybersecurity,United States,2024-01-15,partner,Enterprise,11,t,f
A-956988,Company_14,EdTech,United Kingdom,2024-11-30,ads,Enterprise,1,f,f
A-ac14bb,Company_15,FinTech,United States,2023-09-08,partner,Enterprise,21,f,f
A-463db0,Company_16,HealthTech,United States,2024-12-05,partner,Basic,15,f,f
A-ce66f8,Company_17,EdTech,Canada,2023-08-23,event,Pro,29,f,f
A-c4ea60,Company_18,FinTech,Germany,2023-03-09,other,Enterprise,18,f,t
A-832ec2,Company_19,FinTech,United Kingdom,2023-11-19,event,Enterprise,4,t,f
A-684255,Company_20,FinTech,United States,2024-04-14,ads,Enterprise,9,f,f
A-c42f1f,Company_21,HealthTech,United States,2024-07-28,other,Pro,8,f,f
A-4e44e8,Company_22,DevTools,United States,2024-08-20,ads,Enterprise,3,f,t
A-30b4ca,Company_23,EdTech,India,2024-05-20,organic,Basic,86,f,t
A-9f2731,Company_24,FinTech,India,2024-10-04,event,Enterprise,1,f,f
A-32fb14,Company_25,DevTools,United States,2023-03-07,event,Enterprise,26,f,t
A-00cac8,Company_26,HealthTech,Australia,2023-09-15,organic,Enterprise,8,t,f
A-35083d,Company_27,HealthTech,India,2023-04-28,partner,Basic,19,f,t
A-eb7fac,Company_28,DevTools,United States,2023-10-28,organic,Enterprise,7,f,f
A-b20d99,Company_29,HealthTech,India,2023-09-27,other,Basic,20,f,f
A-396e5f,Company_30,Cybersecurity,Canada,2024-10-02,other,Enterprise,2,f,f
A-45ce7a,Company_31,FinTech,United States,2023-07-23,ads,Enterprise,16,f,f
A-08e34e,Company_32,EdTech,United States,2024-06-27,event,Basic,14,f,t
A-8145a0,Company_33,Cybersecurity,Australia,2023-04-25,partner,Basic,2,t,f
A-bad8c1,Company_34,FinTech,Australia,2023-03-01,organic,Basic,7,f,f
A-44dc83,Company_35,EdTech,France,2024-05-12,other,Basic,5,f,f
A-f446b6,Company_36,DevTools,Germany,2023-05-12,ads,Pro,5,t,f
A-a45270,Company_37,HealthTech,United States,2024-06-24,ads,Enterprise,3,f,f
A-854864,Company_38,FinTech,India,2024-12-07,event,Enterprise,20,f,f
A-1b7577,Company_39,Cybersecurity,United States,2024-10-27,other,Pro,4,f,f
A-05f0e5,Company_40,FinTech,United States,2023-05-04,partner,Basic,32,f,f
A-9077b0,Company_41,HealthTech,United States,2024-08-25,ads,Basic,2,f,f
A-7f8241,Company_42,EdTech,United States,2023-03-14,organic,Pro,34,f,t
A-2bc93d,Company_43,HealthTech,United States,2023-03-14,event,Basic,14,f,f
A-f3ff05,Company_44,FinTech,India,2024-07-06,other,Enterprise,2,f,f
A-2d4502,Company_45,FinTech,India,2024-04-29,event,Basic,7,f,f
A-6a4e2d,Company_46,EdTech,United Kingdom,2023-04-07,partner,Pro,9,f,f
A-eb7c38,Company_47,DevTools,Australia,2024-02-25,organic,Enterprise,5,f,f
A-c37601,Company_48,EdTech,United States,2024-10-31,partner,Basic,6,t,f
A-3b5cd1,Company_49,FinTech,United States,2023-09-12,event,Basic,13,t,f
A-b2225d,Company_50,FinTech,United States,2024-03-08,ads,Basic,47,f,t
