subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,billing_frequency,auto_renew_flag,change_type
S-63e282,A-6a4e2d,2024-10-15,2024-11-07,Pro,14,686,8232,f,t,f,annual,t,upgrade
S-8cec59,A-3c1a3f,2023-12-23,2024-04-12,Enterprise,14,2786,33432,f,f,f,monthly,t,no_change
S-0f6f44,A-9b9fe9,2024-06-11,,Pro,17,833,9996,f,f,f,monthly,t,no_change
S-51c0d1,A-659280,2024-11-25,,Enterprise,62,0,0,t,t,f,annual,f,upgrade
S-f81687,A-e7a1e2,2024-11-23,2024-12-13,Enterprise,5,995,11940,f,f,f,monthly,t,no_change
S-cff5a2,A-ba6516,2024-01-10,,Enterprise,27,5373,64476,f,f,f,monthly,t,no_change
S-4b9b13,A-fa2041,2024-08-13,,Pro,15,735,8820,f,f,f,monthly,t,no_change
S-dceac6,A-417d2f,2023-12-30,,Enterprise,4,796,9552,f,f,f,annual,t,no_change
S-8cad7b,A-5f2961,2024-12-23,,Basic,16,304,3648,f,f,f,annual,t,no_change
S-24796e,A-cc8c8f,2024-11-27,,Enterprise,23,4577,54924,f,f,f,annual,f,no_change
S-d0c344,A-80eeb6,2024-10-27,,Pro,22,1078,12936,f,f,f,annual,f,no_change
S-477506,A-f03140,2024-02-06,,Pro,27,1323,15876,f,f,f,annual,t,no_change
S-79a9e1,A-3a5ad8,2024-12-25,,Enterprise,22,0,0,t,f,f,annual,t,no_change
S-59dc4b,A-f17767,2023-09-17,,Pro,26,1274,15288,f,t,t,monthly,t,conflict
S-7acd8b,A-7920cc,2024-07-17,,Basic,39,741,8892,f,f,f,annual,t,no_change
S-428e9a,A-8ae3fc,2024-10-12,,Enterprise,88,0,0,t,f,f,monthly,t,no_change
S-486088,A-0cc442,2024-09-18,,Pro,45,2205,26460,f,f,f,monthly,t,no_change
S-13939b,A-86902e,2023-07-21,2024-08-03,Pro,34,0,0,t,f,f,monthly,t,no_change
S-9333c5,A-ef84cf,2024-06-06,2024-08-13,Basic,8,152,1824,f,f,f,annual,f,no_change
S-37e3ad,A-b30291,2024-04-25,,Basic,5,95,1140,f,f,f,monthly,t,no_change
S-b17d04,A-e19ff6,2024-03-06,,Pro,8,392,4704,f,f,f,monthly,t,no_change
S-c27134,A-dec005,2024-03-31,,Pro,21,0,0,t,f,f,monthly,t,no_change
S-3bd427,A-2e3bad,2024-12-04,2024-12-27,Basic,61,1159,13908,f,f,f,monthly,t,no_change
S-82989b,A-f5641b,2024-11-30,,Basic,31,589,7068,f,f,f,monthly,t,no_change
S-082b15,A-aa9511,2024-02-09,,Enterprise,97,19303,231636,f,f,f,annual,t,no_change
S-434140,A-075038,2024-02-25,,Pro,17,833,9996,f,f,f,annual,t,no_change
S-c07ede,A-cea1f0,2024-10-07,,Pro,8,392,4704,f,f,f,annual,f,no_change
S-287914,A-a1b80b,2024-08-15,,Pro,16,784,9408,f,f,f,annual,t,no_change
S-b3bd43,A-b2225d,2024-11-03,,Pro,50,2450,29400,f,f,f,monthly,f,no_change
S-4c82da,A-b9eed8,2024-08-01,,Pro,11,539,6468,f,f,f,monthly,f,no_change
S-c75159,A-bcf87c,2024-08-22,2024-09-28,Enterprise,31,6169,74028,f,f,f,monthly,t,no_change
S-b5643b,A-9f9299,2024-06-11,,Enterprise,28,5572,66864,f,f,f,annual,f,no_change
S-49a9aa,A-10b8f2,2023-06-16,,Basic,51,969,11628,f,f,f,annual,t,no_change
S-2877e6,A-95b24a,2024-06-28,,Enterprise,38,0,0,t,t,t,monthly,t,conflict
S-8c10c1,A-0651a4,2024-12-25,,Enterprise,65,12935,155220,f,f,f,annual,t,no_change
S-d7d398,A-fb186e,2024-12-28,,Enterprise,29,0,0,t,f,f,annual,t,no_change
S-ddad91,A-40906c,2024-06-21,,Enterprise,92,0,0,t,f,f,annual,f,no_change
S-6762fa,A-40a557,2024-02-12,,Enterprise,16,3184,38208,f,f,f,annual,t,no_change
S-bb1cf1,A-3a5ad8,2024-09-07,,Enterprise,9,0,0,t,t,f,monthly,f,upgrade
S-a805a5,A-2789e3,2024-09-18,,Basic,33,627,7524,f,f,f,monthly,t,no_change
S-da0a69,A-49b828,2023-05-11,,Pro,6,294,3528,f,f,f,monthly,t,no_change
S-59c5d7,A-c16b88,2024-10-19,,Basic,35,665,7980,f,t,f,monthly,t,upgrade
S-d3faae,A-5c9849,2024-11-12,,Basic,19,361,4332,f,f,f,monthly,t,no_change
S-73a4e4,A-993085,2024-09-09,,Pro,31,1519,18228,f,f,f,monthly,t,no_change
S-35c8a3,A-e4144b,2024-12-22,,Enterprise,41,8159,97908,f,f,f,annual,t,no_change
S-99fbf7,A-7dacce,2024-09-10,,Enterprise,12,2388,28656,f,f,f,annual,t,no_change
S-e97b9f,A-a0ca4e,2024-03-16,,Enterprise,12,2388,28656,f,f,f,annual,t,no_change
S-763d33,A-ef84cf,2024-07-25,,Basic,23,437,5244,f,f,t,annual,f,downgrade
S-323782,A-7920cc,2024-02-22,,Basic,39,741,8892,f,f,f,monthly,t,no_change
S-1cff18,A-2789e3,2024-10-03,,Basic,11,209,2508,f,f,f,monthly,t,no_change
S-ad39ef,A-e40f45,2024-08-25,,Pro,21,0,0,t,t,f,annual,t,upgrade
S-bf806d,A-7c5768,2024-09-21,,Basic,62,1178,14136,f,f,f,annual,t,no_change
S-36f6ec,A-ccb686,2024-08-16,,Pro,21,1029,12348,f,t,f,monthly,t,upgrade
S-aff55c,A-bb2f49,2024-01-14,2024-12-29,Pro,8,0,0,t,f,f,monthly,t,no_change
S-b9fc6c,A-2ebb4b,2023-06-16,,Basic,41,779,9348,f,f,f,annual,t,no_change
