ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
T-d57ae7,A-bf7919,2023-06-11,2023-06-11,23,low,110,5,f
T-c8d035,A-bf7919,2024-10-29,2024-10-29,78,high,53,,f
T-6ba215,A-56962b,2023-03-24,2023-03-26,59,low,73,3,f
T-d0e9c2,A-0f6450,2024-02-27,2024-02-28,55,medium,112,,f
T-bdc427,A-56962b,2023-01-23,2023-01-25,28,high,79,,f
T-777bf4,A-0f6450,2023-01-20,2023-01-20,17,low,54,5,f
T-4220fc,A-0f6450,2023-06-06,2023-06-07,16,low,70,3,t
T-2e8ffa,A-56962b,2023-08-15,2023-08-15,21,medium,153,,f
T-762eff,A-0f6450,2023-04-24,2023-04-25,46,low,46,3,f
T-82577a,A-56962b,2024-02-19,2024-02-19,11,low,117,,f
T-a4d85c,A-0f6450,2023-04-03,2023-04-05,-8,medium,37,3,f
T-e45dfb,A-0f6450,2023-04-08,2023-04-08,24,medium,173,4,f
T-bd64bb,A-5a92e7,2023-04-25,2023-04-27,46,urgent,172,5,f
T-b5f0d3,A-016043,2023-10-02,2023-10-02,53,high,28,4,f
T-c6dcaf,A-32fb14,2023-03-18,2023-03-20,101,low,24,,f
T-e41843,A-c9bb3e,2023-07-22,2023-07-23,19,high,119,4,f
T-992cf9,A-c9bb3e,2024-12-14,2024-12-14,74,medium,21,4,f
T-f6909c,A-5a92e7,2023-05-18,2023-05-19,71,medium,9,5,f
T-fd84fa,A-08e34e,2023-03-16,2023-03-17,40,medium,170,3,f
T-e63e72,A-396e5f,2024-06-02,2024-06-02,50,high,125,,f
T-6da9bc,A-396e5f,2024-12-10,2024-12-12,27,high,49,4,t
T-8ccee6,A-6e08f3,2023-04-07,2023-04-08,92,urgent,122,3,f
T-d3a975,A-3ce5b8,2023-10-08,2023-10-09,39,urgent,169,3,f
T-9a49dd,A-3ce5b8,2023-05-08,2023-05-09,53,high,65,4,f
T-6ba61d,A-484819,2024-08-15,2024-08-17,34,high,165,,f
T-1b7db9,A-712533,2024-05-05,2024-05-06,29,low,145,5,f
T-c475b2,A-712533,2024-10-29,2024-10-29,53,high,76,4,f
T-7e77dc,A-7cfe77,2023-12-23,2023-12-23,12,medium,42,,f
T-1c52db,A-8e47ca,2023-01-04,2023-01-05,39,medium,90,,f
T-322072,A-8e47ca,2023-02-17,2023-02-18,38,high,130,,f
T-2651ec,A-8e47ca,2024-02-18,2024-02-18,68,high,21,,f
T-611c1e,A-8e47ca,2023-03-09,2023-03-09,43,high,17,3,f
T-8639ca,A-8e47ca,2023-09-30,2023-10-03,69,medium,145,5,t
T-273811,A-029f69,2023-06-23,2023-06-25,-10,low,85,,f
T-788eff,A-029f69,2024-04-18,2024-04-19,0,urgent,131,3,f
T-abcd41,A-6da850,2024-11-01,2024-11-02,-26,medium,44,,f
T-6ec2a9,A-9208f0,2023-06-21,2023-06-23,-6,low,3,,f
T-e0c9bf,A-6da850,2023-01-10,2023-01-12,6,medium,26,,f
T-d612f3,A-bb1486,2024-05-19,2024-05-19,27,low,1,3,f
T-387b29,A-956988,2024-04-20,2024-04-21,46,low,83,,f
T-b1720e,A-bb1486,2023-08-27,2023-08-27,21,high,118,,f
T-4f404a,A-bb1486,2024-03-07,2024-03-07,83,high,115,,f
T-f01315,A-956988,2024-11-22,2024-11-24,73,urgent,153,3,f
T-8444c1,A-69fad4,2023-09-16,2023-09-18,5,medium,114,4,f
T-cc8d03,A-69fad4,2024-07-19,2024-07-20,20,medium,22,3,f
T-46fbb6,A-69fad4,2023-07-27,2023-07-29,58,low,167,,f
T-ef99b1,A-eb1312,2023-09-04,2023-09-06,50,low,117,5,f
T-1e5e13,A-249769,2024-07-24,2024-07-24,59,high,180,3,f
T-2ef49b,A-cc1d8d,2023-09-15,2023-09-16,10,medium,33,5,f
T-05b5f6,A-cc1d8d,2024-03-05,2024-03-06,41,high,137,,f
T-06d051,A-cc1d8d,2024-01-24,2024-01-24,44,medium,94,,f
T-d9cb01,A-0baac2,2024-03-23,2024-03-25,31,urgent,104,,f
T-48a7e1,A-0baac2,2024-06-30,2024-07-01,6,low,79,,f
T-cbc3ef,A-c4ea60,2023-02-06,2023-02-08,47,medium,51,3,f
T-91c983,A-dfbd31,2023-05-23,2023-05-23,35,high,177,5,f
T-484790,A-0f6450,2023-12-13,2023-12-14,18,urgent,102,,f
T-1df364,A-c70870,2024-05-06,2024-05-06,1,medium,127,4,f
T-6086c6,A-cd458b,2024-09-08,2024-09-08,24,urgent,84,5,f
T-e17f8c,A-ac85cd,2024-02-02,2024-02-02,17,low,66,4,f
T-30e7ba,A-31ab9a,2024-01-17,2024-01-18,21,high,58,,f
T-0cfcc4,A-69fad4,2024-09-13,2024-09-13,43,urgent,164,4,f
T-cfbf16,A-249769,2024-10-12,2024-10-14,32,low,13,5,f
T-8e58b9,A-cc1d8d,2024-08-06,2024-08-06,39,high,106,4,f
T-b8b946,A-cc1d8d,2024-04-09,2024-04-11,31,medium,126,,f
T-3ef55f,A-098560,2023-09-02,2023-09-02,43,high,174,3,t
T-7cab7d,A-c37cab,2024-01-15,2024-01-15,38,low,28,4,f
T-090534,A-cc8c8f,2023-11-30,2023-11-30,65,urgent,143,4,f
