churn_event_id,account_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text
C-816288,A-c37cab,27-10-2024,pricing,4.03,FALSE,FALSE,FALSE,switched to competitor
C-5a81e7,A-37f969,25-06-2024,support,96.45,TRUE,FALSE,FALSE,
C-a174be,A-b07346,12-11-2024,budget,0.,FALSE,FALSE,FALSE,missing features
C-accb39,A-1e50e0,01-11-2023,budget,54.94,FALSE,FALSE,FALSE,switched to competitor
C-92f889,A-956988,30-12-2024,unknown,0.,FALSE,TRUE,TRUE,too expensive
C-a8ac26,A-b20d99,04-03-2024,features,0.,FALSE,FALSE,FALSE,missing features
C-2e2966,A-526d93,10-07-2024,features,34.4,TRUE,FALSE,FALSE,
C-ee531b,A-751bd4,22-09-2024,budget,0.,FALSE,FALSE,FALSE,
C-e6a0f0,A-ccabf0,31-10-2024,features,0.,FALSE,FALSE,FALSE,too expensive
C-9328ba,A-0a62f5,10-10-2024,features,0.,FALSE,FALSE,FALSE,switched to competitor
C-c89493,A-3ce5b8,18-09-2024,features,261.49,FALSE,FALSE,FALSE,too expensive
C-c54ef0,A-3b5cd1,30-08-2024,unknown,77.87,FALSE,FALSE,FALSE,missing features
C-bb3556,A-bcf664,08-08-2024,competitor,0.,FALSE,FALSE,FALSE,
C-875dc5,A-b9f5b1,21-07-2023,features,0.,FALSE,FALSE,FALSE,switched to competitor
C-c8f7b4,A-0dbdc6,14-04-2024,pricing,175.02,FALSE,FALSE,FALSE,too expensive
C-865f19,A-c9bb3e,29-07-2024,pricing,0.,FALSE,FALSE,FALSE,switched to competitor
C-102614,A-96e141,22-07-2024,budget,43.53,FALSE,FALSE,FALSE,too expensive
C-4ab0e2,A-e7a1e2,08-09-2024,support,0.,TRUE,FALSE,FALSE,missing features
C-742a59,A-812c5b,11-05-2024,support,11.83,FALSE,FALSE,FALSE,missing features
C-1f9cf2,A-1e50e0,26-04-2024,pricing,0.,FALSE,FALSE,FALSE,switched to competitor
C-5d5a64,A-c70870,13-12-2024,competitor,0.,FALSE,FALSE,FALSE,switched to competitor
C-f81017,A-271f46,09-08-2024,features,0.,FALSE,FALSE,TRUE,missing features
C-3292be,A-592832,04-10-2024,support,22.66,FALSE,FALSE,FALSE,switched to competitor
C-e582ea,A-180abf,04-12-2023,support,0.,FALSE,FALSE,FALSE,
C-100b97,A-0a282f,06-10-2024,features,0.,FALSE,FALSE,FALSE,switched to competitor
C-8843d4,A-e51ec7,29-01-2024,support,0.,FALSE,FALSE,FALSE,missing features
C-8b3048,A-034368,29-08-2024,features,0.,TRUE,FALSE,FALSE,
C-48f456,A-8bde0c,28-11-2024,features,0.,FALSE,FALSE,FALSE,missing features
C-dcdebc,A-08e34e,13-07-2024,competitor,225.18,FALSE,FALSE,FALSE,switched to competitor
C-8b229b,A-44dc83,29-11-2024,unknown,98.48,FALSE,TRUE,FALSE,missing features
C-7d13bf,A-78f02b,02-12-2024,unknown,0.,FALSE,FALSE,FALSE,missing features
C-78a2bb,A-fce879,03-12-2024,features,0.,TRUE,FALSE,FALSE,switched to competitor
C-935f48,A-34ea2f,05-10-2024,unknown,0.,TRUE,FALSE,FALSE,
C-366a49,A-0baac2,24-12-2024,unknown,68.65,FALSE,FALSE,FALSE,switched to competitor
C-62e7a3,A-ac85cd,20-10-2024,features,83.94,FALSE,FALSE,FALSE,
C-f3aca2,A-439b2f,18-11-2024,features,0.,FALSE,FALSE,FALSE,switched to competitor
C-3b7c60,A-0f6450,29-12-2024,competitor,0.,FALSE,FALSE,FALSE,missing features
C-736efa,A-b78bf8,06-12-2024,unknown,0.,FALSE,FALSE,FALSE,
C-f6e873,A-3b5cd1,24-07-2024,support,35.3,FALSE,FALSE,FALSE,too expensive
C-2e2a3f,A-7df7a7,10-07-2024,budget,0.,FALSE,FALSE,FALSE,missing features
C-762dd4,A-396e5f,30-11-2024,features,0.,FALSE,FALSE,FALSE,too expensive
C-f72425,A-32fb14,19-08-2023,budget,0.,FALSE,FALSE,FALSE,switched to competitor
C-0e273d,A-4e0e85,14-03-2024,pricing,0.,FALSE,FALSE,FALSE,
C-345bbc,A-922109,03-08-2024,support,0.,TRUE,TRUE,FALSE,too expensive
C-555f55,A-794a0b,09-09-2024,budget,0.,FALSE,TRUE,FALSE,switched to competitor
C-a26ce8,A-5a184f,19-03-2024,support,0.,FALSE,TRUE,FALSE,missing features
C-86a446,A-ccb686,22-06-2024,budget,0.,TRUE,FALSE,FALSE,
C-10ce15,A-029f69,14-12-2024,competitor,32.73,FALSE,FALSE,FALSE,too expensive
C-2698c2,A-9208f0,18-11-2023,features,0.,FALSE,FALSE,FALSE,switched to competitor
C-48906a,A-5a92e7,11-11-2024,budget,0.,TRUE,FALSE,FALSE,missing features
C-4f7342,A-f45426,13-11-2024,pricing,0.,FALSE,FALSE,FALSE,switched to competitor
C-23b1d0,A-2446e3,29-07-2024,unknown,47.06,FALSE,FALSE,FALSE,
C-7f909a,A-d535f6,26-11-2024,features,0.,FALSE,FALSE,FALSE,switched to competitor
C-f208d4,A-6da850,25-10-2024,competitor,0.,FALSE,FALSE,FALSE,missing features
C-acbc2b,A-249769,16-12-2024,budget,0.,FALSE,FALSE,FALSE,
C-859615,A-8e47ca,01-06-2024,competitor,0.,FALSE,FALSE,FALSE,missing features
C-035985,A-6da850,15-01-2024,pricing,0.,FALSE,FALSE,FALSE,too expensive
C-7cace4,A-484819,29-12-2023,support,0.,FALSE,FALSE,FALSE,
C-06a2e6,A-bbc346,31-10-2024,competitor,0.,TRUE,FALSE,FALSE,too expensive
C-eb9d5e,A-eb1312,28-09-2024,unknown,0.,FALSE,FALSE,FALSE,switched to competitor
C-a45909,A-bf7919,06-12-2024,support,0.,FALSE,FALSE,FALSE,
C-7f85f4,A-bece89,27-07-2024,unknown,53.61,FALSE,FALSE,FALSE,switched to competitor
C-234aa7,A-832ec2,19-12-2023,unknown,0.,FALSE,FALSE,FALSE,too expensive
C-0ba0a0,A-22d9d2,17-10-2024,pricing,0.,FALSE,FALSE,FALSE,
C-d05e42,A-32728c,22-06-2024,support,0.,FALSE,FALSE,FALSE,
C-8d3540,A-37f969,12-12-2024,competitor,50.41,FALSE,FALSE,FALSE,
C-bedd8c,A-1b9609,16-11-2024,unknown,0.,FALSE,FALSE,FALSE,
C-1cea52,A-310452,25-12-2024,budget,0.,TRUE,FALSE,FALSE,
C-1e0b1a,A-016043,11-08-2024,competitor,84.75,FALSE,FALSE,FALSE,switched to competitor
C-c4e7a7,A-80eeb6,19-10-2023,features,0.,FALSE,FALSE,FALSE,missing features
C-915973,A-7e0a10,26-09-2024,budget,0.,FALSE,FALSE,FALSE,missing features
C-a403fc,A-6a7c9d,21-11-2024,support,0.,FALSE,FALSE,FALSE,too expensive
C-025044,A-098560,04-09-2024,pricing,0.,FALSE,FALSE,FALSE,too expensive
C-a54597,A-9f9299,24-03-2024,features,0.,FALSE,FALSE,FALSE,missing features
C-7ab794,A-ef84cf,20-11-2024,support,0.,FALSE,FALSE,FALSE,too expensive
C-7cd070,A-13466a,18-04-2024,pricing,6.51,FALSE,TRUE,TRUE,switched to competitor
C-1727c8,A-65aeb5,27-02-2024,pricing,0.,FALSE,FALSE,FALSE,
C-bb9db4,A-659280,22-11-2024,pricing,27.75,FALSE,FALSE,FALSE,switched to competitor
C-0a0bf7,A-d49cc5,12-04-2024,competitor,0.,FALSE,FALSE,FALSE,missing features
C-64ba8a,A-cc8c8f,12-09-2024,budget,0.,TRUE,FALSE,FALSE,missing features
C-fab429,A-180abf,12-09-2024,support,0.,FALSE,FALSE,FALSE,
C-872bcf,A-6da850,07-09-2024,budget,0.,FALSE,FALSE,FALSE,switched to competitor
C-480232,A-31ab9a,23-09-2024,competitor,0.,FALSE,FALSE,TRUE,too expensive
C-108b2a,A-e08cd3,21-09-2024,competitor,0.,FALSE,FALSE,FALSE,switched to competitor
C-775d4e,A-0651a4,25-12-2024,support,0.,FALSE,FALSE,FALSE,too expensive
C-043665,A-b2225d,27-06-2024,budget,0.,FALSE,FALSE,TRUE,
C-2dbe71,A-c222ab,14-06-2024,budget,4.52,FALSE,FALSE,FALSE,too expensive
C-b60cf0,A-a6d261,10-03-2024,unknown,99.94,TRUE,FALSE,FALSE,missing features
C-f24343,A-425e76,03-09-2023,budget,0.,FALSE,FALSE,TRUE,missing features
C-a1d45c,A-c222ab,10-06-2024,features,27.62,TRUE,FALSE,FALSE,missing features
C-9d36da,A-bcf664,17-08-2024,competitor,0.,FALSE,FALSE,TRUE,
C-b4b58e,A-96e141,22-09-2024,budget,0.,FALSE,FALSE,FALSE,too expensive
C-5cd282,A-df1e44,20-11-2024,budget,0.,FALSE,FALSE,FALSE,missing features
C-95f56e,A-7f29a7,09-10-2024,unknown,23.97,TRUE,FALSE,FALSE,switched to competitor
C-bd5b55,A-b07b56,24-12-2024,budget,0.,FALSE,FALSE,FALSE,switched to competitor
C-b8127e,A-d792a6,13-08-2024,support,0.,FALSE,FALSE,FALSE,missing features
C-8153b7,A-7cfe77,19-12-2024,features,0.,FALSE,TRUE,FALSE,missing features
C-b6b828,A-69fad4,17-06-2024,support,0.,FALSE,FALSE,FALSE,
C-a666a4,A-4bfa33,28-12-2024,unknown,7.26,TRUE,FALSE,FALSE,switched to competitor
C-72d074,A-cc1d8d,17-12-2024,features,0.,FALSE,FALSE,FALSE,too expensive
C-ced436,A-7f4db3,21-03-2023,support,0.,TRUE,FALSE,FALSE,missing features
C-2cccb0,A-692f18,23-12-2024,support,0.,TRUE,FALSE,FALSE,switched to competitor
C-b08dda,A-7a0d69,09-07-2024,features,28.95,FALSE,FALSE,FALSE,
C-66d447,A-fda07f,13-09-2024,support,17.34,FALSE,FALSE,FALSE,missing features
C-860574,A-4e44e8,11-10-2024,budget,0.,FALSE,FALSE,TRUE,switched to competitor
C-a4f797,A-cd458b,07-11-2024,budget,0.,FALSE,FALSE,FALSE,switched to competitor
C-4dfeb8,A-56962b,27-07-2024,unknown,45.83,FALSE,FALSE,FALSE,switched to competitor
C-d3449f,A-2bc93d,10-08-2023,pricing,0.,FALSE,FALSE,FALSE,missing features
C-1a5a14,A-104f1a,06-09-2024,support,0.,FALSE,FALSE,FALSE,too expensive
C-6c63bc,A-2e3bad,30-03-2024,features,0.,FALSE,FALSE,FALSE,missing features
