usage_id,subscription_id,usage_date,feature_name,usage_count,usage_duration_secs,error_count,is_beta_feature
U-1c6c24,S-0fcf7d,27-07-2023,feature_20,9,5004,0,FALSE
U-f07cb8,S-c25263,07-08-2023,feature_5,9,369,0,FALSE
U-096807,S-f29e7f,07-12-2023,feature_3,9,1458,0,FALSE
U-6b1580,S-be655e,28-07-2024,feature_40,5,2085,0,FALSE
U-720a29,S-f9b1d0,02-12-2024,feature_12,12,900,0,FALSE
U-c5692d,S-e958ba,31-10-2023,feature_14,11,4103,0,FALSE
U-7078db,S-0c9fdd,20-09-2023,feature_34,8,2016,2,FALSE
U-a60033,S-4e4ab7,05-06-2023,feature_27,10,5470,0,FALSE
U-5cd930,S-a3a1c1,20-02-2024,feature_18,9,5067,1,FALSE
U-ebb375,S-9e450b,09-02-2023,feature_28,6,2778,0,FALSE
U-a7c89a,S-3673f2,25-08-2024,feature_36,9,2061,0,FALSE
U-779058,S-afed2d,03-11-2023,feature_35,10,5200,0,TRUE
U-f65bba,S-3dc46b,14-07-2024,feature_20,5,930,1,FALSE
U-4de1d3,S-e2799b,22-08-2023,feature_25,8,2480,0,FALSE
U-935818,S-9ce22d,22-05-2023,feature_35,17,901,0,FALSE
U-0286e4,S-4dae4f,09-12-2023,feature_4,10,4610,0,FALSE
U-99f042,S-5272ff,11-10-2023,feature_4,12,4884,2,FALSE
U-a66f10,S-e3dff3,04-04-2024,feature_40,14,4872,0,FALSE
U-805be4,S-c23126,23-03-2023,feature_24,5,2055,3,FALSE
U-138675,S-813cdc,30-07-2023,feature_37,5,960,0,FALSE
U-77404d,S-6c969d,31-08-2024,feature_3,9,5022,0,FALSE
U-80c1c1,S-dacc80,29-11-2023,feature_7,9,432,0,FALSE
U-25b56c,S-810c27,06-10-2024,feature_20,7,231,0,FALSE
U-184e0c,S-fcb954,15-04-2023,feature_15,8,856,0,FALSE
U-97d46f,S-d111f5,13-04-2023,feature_30,10,5240,0,FALSE
U-782016,S-1b4693,08-04-2023,feature_39,8,192,1,FALSE
U-d7cb11,S-7d9605,03-12-2023,feature_19,13,5980,0,FALSE
U-0ae9d5,S-6ce794,25-02-2023,feature_12,8,1416,1,FALSE
U-0aff2c,S-041624,20-02-2024,feature_40,9,3456,2,FALSE
U-093baa,S-7dab19,19-11-2023,feature_18,6,540,2,FALSE
U-7fbb0f,S-b3071c,01-01-2023,feature_6,11,1573,0,FALSE
U-e5999c,S-de9b4b,24-03-2024,feature_21,9,5256,0,FALSE
U-a5433e,S-f0081e,02-03-2023,feature_1,14,2324,1,FALSE
U-54d795,S-0c47cb,17-12-2024,feature_4,14,1190,0,TRUE
U-4ccaa4,S-5d5a8d,24-04-2023,feature_22,6,1344,0,FALSE
U-492e99,S-567afa,22-12-2023,feature_38,9,2430,0,FALSE
U-ed08bd,S-6c7bd8,10-10-2024,feature_40,7,2464,0,FALSE
U-ba2bf3,S-8b52b5,24-03-2024,feature_19,9,441,0,FALSE
U-4978ea,S-3947da,13-04-2023,feature_29,5,1000,1,TRUE
U-7f9bc8,S-1ad713,19-04-2024,feature_39,14,7952,0,TRUE
U-624d96,S-049328,29-12-2023,feature_38,7,2653,0,TRUE
U-d652f1,S-64acb8,25-08-2023,feature_5,10,540,0,FALSE
U-e860b8,S-6c969d,07-02-2024,feature_19,7,1582,0,TRUE
U-804bf8,S-8c9649,13-01-2023,feature_14,5,2985,0,FALSE
U-d2e9b7,S-c2168a,04-01-2023,feature_18,6,2166,1,FALSE
U-9a5f52,S-0283b5,02-02-2023,feature_14,6,2658,0,FALSE
