subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag
S-8cec59,A-3c1a3f,23-12-2023,12-04-2024,Enterprise,14,2786,33432,FALSE,FALSE,FALSE,TRUE,monthly,TRUE
S-0f6f44,A-9b9fe9,11-06-2024,,Pro,17,833,9996,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-51c0d1,A-659280,25-11-2024,,Enterprise,62,0,0,TRUE,TRUE,FALSE,FALSE,annual,FALSE
S-f81687,A-e7a1e2,23-11-2024,13-12-2024,Enterprise,5,995,11940,FALSE,FALSE,FALSE,TRUE,monthly,TRUE
S-cff5a2,A-ba6516,10-01-2024,,Enterprise,27,5373,64476,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-4b9b13,A-fa2041,13-08-2024,,Pro,15,735,8820,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-dceac6,A-417d2f,30-12-2023,,Enterprise,4,796,9552,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-8cad7b,A-5f2961,23-12-2024,,Basic,16,304,3648,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-24796e,A-cc8c8f,27-11-2024,,Enterprise,23,4577,54924,FALSE,FALSE,FALSE,FALSE,annual,FALSE
S-d0c344,A-80eeb6,27-10-2024,,Pro,22,1078,12936,FALSE,FALSE,FALSE,FALSE,annual,FALSE
S-477506,A-f03140,06-02-2024,,Pro,27,1323,15876,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-79a9e1,A-3a5ad8,25-12-2024,,Enterprise,22,0,0,TRUE,FALSE,FALSE,FALSE,annual,TRUE
S-59dc4b,A-f17767,17-09-2023,,Pro,26,1274,15288,FALSE,TRUE,TRUE,FALSE,monthly,TRUE
S-7acd8b,A-7920cc,17-07-2024,,Basic,39,741,8892,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-428e9a,A-8ae3fc,12-10-2024,,Enterprise,88,0,0,TRUE,FALSE,FALSE,FALSE,monthly,TRUE
S-486088,A-0cc442,18-09-2024,,Pro,45,2205,26460,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-13939b,A-86902e,21-07-2023,03-08-2024,Pro,34,0,0,TRUE,FALSE,FALSE,TRUE,monthly,TRUE
S-9333c5,A-ef84cf,06-06-2024,13-08-2024,Basic,8,152,1824,FALSE,FALSE,FALSE,TRUE,annual,FALSE
